id,value,feed_id,created_at,lat,lon,ele
0FW0CA0WEMNW43JRSWVZ7DXH8Q,23.476559,3064451,2025-04-24 17:33:45 UTC,,,
0FW0CH9WH6XEF4M1VYBQJ0XYPQ,23.476559,3064451,2025-04-24 17:46:29 UTC,,,
0FW0CHJKYX1KRVRE0SB9D20TWR,23.432613,3064451,2025-04-24 17:46:58 UTC,,,
0FW0CHMCQRAH2PNC5M2P112MVY,23.432613,3064451,2025-04-24 17:47:03 UTC,,,
0FW0CHRQ0F6YYAFFXD0FWAEGDD,28.837889,3064451,2025-04-24 17:47:17 UTC,,,
0FW0CHV8F7WGD7W10HCBZH8MJ6,27.519529,3064451,2025-04-24 17:47:26 UTC,,,
0FW0CHWG6V0YF7Q7190W6G1PGF,26.816404,3064451,2025-04-24 17:47:30 UTC,,,
0FW0CSB7ZNPD11NF5TBF9QCSW5,23.520506,3064451,2025-04-24 18:00:32 UTC,,,
0FW0CSD5X65C5PDBW0HCD58ME9,23.432613,3064451,2025-04-24 18:00:39 UTC,,,
0FW0CSFFSVWYGY03H6S909YKZ2,26.684570,3064451,2025-04-24 18:00:46 UTC,,,
